keywords,organization_name,website,mission_description,population_focus,time_commitment,cost,languages_courses,address,city,state,zip,locations,leadership_contact,title,email,phone_number,when_founded
"Youth learning, in-person, workshops, apprenticeship, programming, summer, entrepreneurship, web development, Black male founder",<thisKidCanCode>,https://www.thiskidcancode.com,"<thisKidCanCode> seeks to change lives by providing computer programming apprenticeships and workshops, which will provide exposure to and remove barriers associated with: college, careers, and entrepreneurship. They have three offerings: Apprenticeship program - flagship program which provides a deep dive and mastery of coding (Computer Programming); College Jump Start - a summer program for graduating HS students wanting to master first year of college computer science concepts before college; Workshops - one to five day sessions on a given subject (e.g. HTML5, CSS3, and JQuery). <thisKidCanCode> will establish relationships with local corporations, non-profits, and churches to offer IT jobs and internships to qualified apprenticeship participants.",Youth,Varies,,"HTML, CSS3, jQuery, PHP, JavaScript, Java",66 S Main Suite 305,Memphis,TN,38103,"Memphis, TN",,,info@thiskidcancode.com,,2013
"Adult learning, in-person, bootcamps, mentors, Israel",10x,http://10x.org.il/,"10X is an intensive 12-week course program focusing on Python in Israel. It includes personal mentoring, targeting immediate employment. No prior programming knowledge required. 10X is focused on educating and mentoring excellent software developers.",Adults,12 weeks,"NIS 12,000",Python,,,,,Israel,,,udi@10x.org.il,,2012
"Adult learning, in-person, web development, corporate, evening",AcademyX,http://www.academyx.com/,"AcademyX provides hands-on, instructor-led computer training at its branches across California. They offer public enrollment classes; customized group and 1-on-1 training at your site, our facilities, or online; 3-month evening courses in Web Design and Web Marketing, and PHP/MySQL; and fun ""pop-up"" classes like the Bitcoin Workshop.",Various skill levels,Varies,Fee per course,"HTML, CSS, PHP, MySQL, Dreamweaver",601 Montgomery St. #409,San Francisco,CA,94111,"San Francisco, CA; Sacramento, CA; San Jose, CA; Los Angeles, CA; San Diego, CA",,,info@academyx.com,(800) 716-4324,2000
"Youth learning, coding, high school, school-based, internships, mentors",Academy for Software Engineering,http://www.afsenyc.org/,"Academy for Software Engineering is a new high school in New York focused on school for software engineering, design and development. Innovative curriculum and workshops in a school created by talented educators and leaders in software development, put you on a course to becoming a member of New York City's technology and entrepreneurial community.",High school,School year,,"Computing courses focused on programming, advanced computer science, web design, user experience, entrepreneurship, and mobile application development",40 Irving Place,New York,NY,10003,"New York, NY",,,info@AFSEnyc.org,(212) 253-3299,
"Adult learning, in-person, underrepresented",Access Code,http://coalitionforqueens.org/access-code/,"Access Code was piloted in 2013 and a project of Coalition for Queens.  Access Code focuses on practical, hands-on learning. Students worked in a pair programming environment and teamed up together to build applications. The course started and ended with weekend coding marathons, with students hacking away for 16 hours over two days.  We wanted a program where students could learn from each other in a collaborative environment. We are extremely proud to say that our inaugural class is 57% female, 52% underrepresented minorities, and 40% immigrants. To find the most promising students from a range of backgrounds, we partnered with local community institutions such as Upwardly Global, Chhaya, Queens College, and the CUNY Macaulay Honors Program.",Adults,,,,,,,,"Queens, NY",Jukay Hsu,Founder,jukay@coalitionforqueens.org,,
"Adult learning, women, apprenticeships",Ada Developers Academy,http://adadevelopersacademy.org/,"Ada Developers Academy (Ada) is an intensive software developer training school for women. It combines six months of classroom instruction in cutting-edge web technologies with up to six month of apprenticeship at a Puget Sound-area tech business.

In the 24 week intensive class, students will be immersed in software development and learn the most up-to-date web skills from leading regional and national experts. Afterward, during a six month apprenticeship, students will learn what it’s like to be part of a software team delivering production code for real applications.

Ada Developers Academy is a project of the Technology Alliance. The Technology Alliance is a statewide not-for-profit organization of leaders from Washington's technology-based businesses and research institutions united by our vision of a vibrant innovation economy that benefits all of our state's citizens.",Adult women,1 year,"Free, eligibility for $1,000 monthly living stipend","Ruby, Rails, HTML/CSS, and JavaScript, agile development, scrum",1301 5th Ave #1500,Seattle,WA,98101,"Seattle, WA",,,contact@adadevelopersacademy.org,,2013
"Youth learning, summer, camps, forensics, robotics, web development",Adventures in Computer Science (Purdue University),http://www.cs.purdue.edu/external_relations/k-12_outreach/summer_camps/2013/,"Adventures in Computer Science is a camp that helps kids explore and learn all about Computer Science using an age-appropriate, forensic-themed scenario. Campers will use computer science tools and become investigators working toward solving a crime while in this immersion-based camp. The camp will take an in-depth look at computer science
concepts such as programming, cryptography, and robotics, and how they are used every day to make a difference in our world. Using programs such as Python, Alice, and Web design software, students will explore hands-on applications. Students will also participate in a PicoCricket design studio
challenge.","Youth entering grades 6, 7, or 8 ",,$450-$475,"Python, Alice, etc.","Computer Science, 305 N. University Street",West Lafayette,IN,47907,"West Lafayette, IN",,,k12@cs.purdue.edu,(765) 494-7802,
"Youth learning, school-based, platform, game development","AgentSheets, Inc.",http://www.agentsheets.com/,"AgentSheets, Inc. was launched in 1996, the culmination of more than a decade of research conducted and directed by founder Dr. Alexander Repenning at the University of Colorado in Boulder. Their producs reflect years of research in human-computer interaction, end-user programming, and simulation tools. 

The org's mission is to foster K-12 student participation in STEM fields through motivational applications based on AgentSheets technology. They provide a broad swath of students with revolutionary instruction in computational thinking and design that motivate them to explore computer science education and careers. 

They work with schools and school districts locally, nationally, and internationally to teach programming skills through game and simulation design. AgentSheets provides customer support, custom simulations, content and training, as well as agent-based application solutions.

AgentSheets is an international leader in educational technology, innovative educational solutions, and measurable results. ",K-12,,"Prices vary for Lab, School and District Licenses",,"6560 Gunpark Dr., Suite D",Boulder,CO,80301,"Boulder, CO",,,info@agentsheets.com,(303) 530-1773,1996
"Adult learning, in-person, bootcamps, web development",AIT Learning,http://aitlearning.com/,AIT Learning provides 8 to 12 week intensive bootcamps where students are immersed in course material which is directly relevant to the job they are going to perform.,Various skill levels,8-12 weeks,$3500 before first day + $6000 after finding job,"Ruby on Rails, JavaScript, HTML5/CSS3, Coffeescript, jQuery, AJAX,SQL, JSon, Agile, Git, Waterfall, JSP, responsive web design, etc.","        14801 Murdock St, Suite 155",Chantilly,VA,20151,"Washington, DC",,,info@aitlearning.com,(571) 403-1705,2013
"Youth learning, summer, camps, robotics, mobile, competition",Alabama Computer Science Camps,http://outreach.cs.ua.edu/camps/,The Department of Computer Science at the University of Alabama hosts a multi-week series of Computer Science summer camps. Students are taught multiple topics of Computer Science while learning to program a computer in several exciting contexts (robotics control and smartphone apps). The Computer Science camps are taught in a manner that encourages self-exploration across multiple projects.,"Middle school, high school",,"Commuting Students: $250 per week (includes lunch), Dorm Students: $500 per week (5 nights lodging, 3 meals/day), limited tuition assistance","robotics, Scratch, Java, App Inventor","University of Alabama
Box 870290",Tuscaloosa,AL,35487,"Tuscaloosa, AL",Jeff Gray,Associate Professor,gray@cs.ua.edu,(205) 348-2847,
